_id,CrashFactId,Name,MinorInjuries,ModerateInjuries,SevereInjuries,FatalInjuries,TcrNumber,CityDamageFlag,ShortFormFlag,Distance,CrashDateTime,PedestrianAction,RoadwaySurface,RoadwayCondition,Lighting,PrimaryCollisionFactor,TrafficControl,Weather,CollisionType,ProximityToIntersection,VehicleInvolvedWith,PedestrianDirectionFrom,PedestrianDirectionTo,DirectionFromIntersection,Comment,SpeedingFlag,HitAndRunFlag,IntersectionNumber,AStreetName,BStreetName,Latitude,Longitude
2078,699124,CR-0000100440,0,0,0,0,23-176-0011,False,False,148.0,6/25/2023 12:09:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - No Street Light,Violation Driver 1,Unknown,Clear,Head On,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,North Of,,False,False,103751,RHODA DR,TOPAZ AV,37.3046509,-121.9698386
2079,689717,CR-0000095729,0,0,0,0,22-309-0867,False,False,166.0,11/5/2022 11:07:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Rear End,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,North Of,,True,False,103751,RHODA DR,TOPAZ AV,37.3046509,-121.9698386
2080,687502,CR-0000094292,0,1,0,0,22-260-0179,False,False,0.0,9/17/2022 7:39:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,96623,NOTTINGHAM PL,WILLIAMS RD,37.30832738,-121.9687732
2081,698904,CR-0000100204,1,0,0,0,23-315-0722,False,False,57.0,11/11/2023 8:15:00 PM,Crossing - Not In Crosswalk,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Vehicle/Pedestrian,Non-Related,Pedestrian,North,South,East Of,PED,False,True,96623,NOTTINGHAM PL,WILLIAMS RD,37.30832738,-121.9687732
2082,716136,CR-0000102127,3,0,0,0,24-028-0734,False,False,0.0,1/28/2024 8:33:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Not Functioning,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,96623,NOTTINGHAM PL,WILLIAMS RD,37.30832738,-121.9687732
2083,695959,CR-0000099092,0,0,0,0,23-231-0861,False,False,48.0,8/19/2023 10:40:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Sideswipe,Related,Parked Vehicle,Not Applicable,Not Applicable,East Of,,False,False,96612,NOTTINGHAM PL,RHODA DR,37.30474285,-121.9687706
2084,682699,CR-0000092277,0,0,0,0,22-151-9714,False,True,51.0,5/29/2022 10:00:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Unknown,No Controls Present/Factor,Clear,Sideswipe,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,South Of,,False,True,67132,GLENTREE DR,RAINTREE CT,37.31153271,-121.9949597
2085,683290,CR-0000092876,0,0,0,0,22-144-9707,False,True,51.0,5/19/2022 7:00:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Unknown,Unknown,Clear,Vehicle/Bike,Non-Related,Bike,Not Applicable,Not Applicable,North Of,BIKE,False,True,52271,DOYLE RD,GLENTREE DR,37.31153159,-121.9952538
2086,716236,CR-0000102201,0,1,0,0,24-045-0227,False,False,790.0,2/14/2024 9:22:00 AM,In Road - Includes Shoulder,Dry,No Unusual Conditions,Daylight,Pedestrian At Fault,No Controls Present/Factor,Cloudy,Vehicle/Pedestrian,Non-Related,Pedestrian,West,East,North Of,PED,False,False,52271,DOYLE RD,GLENTREE DR,37.31153159,-121.9952538
2087,688810,CR-0000094656,0,0,0,0,22-248-4002,False,True,0.0,9/3/2022 3:20:00 PM,No Pedestrians Involved,Unknown,Unknown,Daylight,Unknown,Unknown,Unknown,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,False,False,36398,CHALLENGER AV,WARM SPRINGS DR,37.37157442,-121.8350292
2088,687420,CR-0000094198,0,1,0,0,22-249-0419,False,False,70.0,9/6/2022 11:24:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Rear End,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,West Of,,False,False,37674,CHERRY AV,KOCH LN,37.27885237,-121.8929488
2089,682037,CR-0000091548,0,0,0,0,22-065-0567,False,False,51.0,3/6/2022 2:05:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,South Of,,True,False,97470,OLIN ST,WINCHESTER BL,37.32050864,-121.9501548
2090,682244,CR-0000091831,1,1,0,0,22-127-0288,False,False,0.0,5/7/2022 11:01:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Controls Functioning,Clear,Broadside,Intersection,Other Vehicle,Not Applicable,Not Applicable,At,,True,False,97470,OLIN ST,WINCHESTER BL,37.32050864,-121.9501548
2091,699303,CR-0000100628,0,0,0,0,23-155-4001,False,True,,6/3/2023 7:00:00 PM,No Pedestrians Involved,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Related,Unknown,Not Applicable,Not Applicable,Unknown,,False,False,97470,OLIN ST,WINCHESTER BL,37.32050864,-121.9501548
2092,694093,CR-0000097890,0,0,0,0,23-116-0217,False,False,300.0,4/26/2023 9:24:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,False,True,97470,OLIN ST,WINCHESTER BL,37.32050864,-121.9501548
2093,691111,CR-0000097304,0,0,0,0,23-043-0677,True,False,,2/12/2023 8:22:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,Controls Functioning,Clear,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,False,False,97470,OLIN ST,WINCHESTER BL,37.32050864,-121.9501548
2094,721995,CR-0000103249,0,0,0,0,24-054-9703,False,True,51.0,2/22/2024 6:16:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Unknown,Controls Functioning,Clear,Rear End,Non-Related,Other Vehicle,Not Applicable,Not Applicable,North Of,,False,False,97470,OLIN ST,WINCHESTER BL,37.32050864,-121.9501548
2095,726754,CR-0000105294,1,0,0,0,24-187-0480,False,False,96.0,7/5/2024 12:26:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,No Controls Present/Factor,Clear,Rear End,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,East Of,,True,False,13837,BASCOM AV,FOREST AV,37.32691251,-121.931987
2096,723969,CR-0000104364,1,0,0,0,24-131-0399,False,False,90.0,5/10/2024 12:18:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Daylight,Violation Driver 1,Unknown,Clear,Sideswipe,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,South Of,,False,False,13837,BASCOM AV,FOREST AV,37.32691251,-121.931987
2097,689451,CR-0000095426,0,1,0,0,22-306-0080,False,False,238.0,11/2/2022 2:30:00 AM,No Pedestrians Involved,Dry,No Unusual Conditions,Dark - Street Light,Violation Driver 1,No Controls Present/Factor,Clear,Rear End,Non-Related,Parked Vehicle,Not Applicable,Not Applicable,South Of,,False,False,13837,BASCOM AV,FOREST AV,37.32691251,-121.931987
2098,699426,CR-0000100758,0,0,0,0,23-192-0871,True,False,787.0,7/11/2023 8:15:00 PM,No Pedestrians Involved,Dry,No Unusual Conditions,Dusk - Dawn,Violation Driver 1,No Controls Present/Factor,Clear,Hit Object,Non-Related,Fixed Object,Not Applicable,Not Applicable,South Of,LIGHTPOLE,True,False,137257,SAN FELIPE RD,SILVER OAK ST,37.28672948,-121.7635196
